region,site_name,lawa_site_id,indicator,year,mean_ugm3,days_measured,first_date,last_date,pct_coverage
Auckland,Glen Eden,LAWA-100059,PM10,2016,13.07917808219178,365,2016-01-01 00:00:00,2016-12-31 00:00:00,100.0
Auckland,Glen Eden,LAWA-100059,PM10,2017,12.222067039106145,358,2017-01-01 00:00:00,2017-12-31 00:00:00,98.1
Auckland,Glen Eden,LAWA-100059,PM10,2018,12.89876160990712,323,2018-01-01 00:00:00,2018-12-31 00:00:00,88.5
Auckland,Glen Eden,LAWA-100059,PM10,2019,13.521848739495798,357,2019-01-01 00:00:00,2019-12-31 00:00:00,97.8
Auckland,Glen Eden,LAWA-100059,PM10,2020,12.202486187845304,362,2020-01-01 00:00:00,2020-12-31 00:00:00,99.2
Auckland,Glen Eden,LAWA-100059,PM10,2021,11.706896551724139,348,2021-01-01 00:00:00,2021-12-31 00:00:00,95.3
Auckland,Glen Eden,LAWA-100059,PM10,2022,11.579395604395604,364,2022-01-01 00:00:00,2022-12-31 00:00:00,99.7
Auckland,Glen Eden,LAWA-100059,PM10,2023,11.920057142857145,350,2023-01-01 00:00:00,2023-12-31 00:00:00,95.9
Auckland,Glen Eden,LAWA-100059,PM10,2024,11.676388888888889,360,2024-01-01 00:00:00,2024-12-31 00:00:00,98.6
Auckland,Henderson,LAWA-100064,PM10,2016,12.972727272727274,363,2016-01-01 00:00:00,2016-12-31 00:00:00,99.5
Auckland,Henderson,LAWA-100064,PM10,2017,12.022413793103448,348,2017-01-01 00:00:00,2017-12-31 00:00:00,95.3
Auckland,Henderson,LAWA-100064,PM10,2018,12.893457943925235,321,2018-01-01 00:00:00,2018-12-31 00:00:00,87.9
Auckland,Henderson,LAWA-100064,PM10,2019,13.452209944751381,362,2019-01-01 00:00:00,2019-12-31 00:00:00,99.2
Auckland,Henderson,LAWA-100064,PM10,2020,11.304371584699453,366,2020-01-01 00:00:00,2020-12-31 00:00:00,100.3
Auckland,Henderson,LAWA-100064,PM10,2021,11.253389830508475,354,2021-01-01 00:00:00,2021-12-31 00:00:00,97.0
