health_region,year_to,obesity_rate,obesity_rate_low,obesity_rate_high,ethnicity,pm25_ugm3_2023,nzdep_9_10_share
Te Ikaroa,2020/21,0.521,0.469,0.573,Asian,6.065712665924931,0.28
Te Ikaroa,2020/21,0.668,0.645,0.69,European/Other,6.065712665924931,0.28
Te Ikaroa,2020/21,0.752,0.719,0.783,Māori,6.065712665924931,0.28
Te Ikaroa,2020/21,0.858,0.804,0.901,Pacific,6.065712665924931,0.28
Te Manawa Taki,2020/21,0.513,0.458,0.568,Asian,6.673795496109936,0.33
Te Manawa Taki,2020/21,0.686,0.668,0.704,European/Other,6.673795496109936,0.33
Te Manawa Taki,2020/21,0.791,0.766,0.814,Māori,6.673795496109936,0.33
Te Manawa Taki,2020/21,0.852,0.791,0.901,Pacific,6.673795496109936,0.33
Te Tai Tokerau,2020/21,0.533,0.503,0.562,Asian,5.686801745991618,0.42
Te Tai Tokerau,2020/21,0.636,0.618,0.654,European/Other,5.686801745991618,0.42
Te Tai Tokerau,2020/21,0.769,0.734,0.802,Māori,5.686801745991618,0.42
Te Tai Tokerau,2020/21,0.911,0.886,0.932,Pacific,5.686801745991618,0.42
Te Waipounamu,2020/21,0.52,0.458,0.58,Asian,8.892142297228633,0.19
Te Waipounamu,2020/21,0.662,0.637,0.687,European/Other,8.892142297228633,0.19
Te Waipounamu,2020/21,0.74,0.687,0.788,Māori,8.892142297228633,0.19
Te Waipounamu,2020/21,0.886,0.811,0.939,Pacific,8.892142297228633,0.19
