region,site_name,lawa_site_id,indicator,year,days_measured,exceed_who_daily,exceed_nes_daily
Auckland,Glen Eden,LAWA-100059,PM10,2016,365,0,0.0
Auckland,Glen Eden,LAWA-100059,PM10,2017,358,0,0.0
Auckland,Glen Eden,LAWA-100059,PM10,2018,323,0,0.0
Auckland,Glen Eden,LAWA-100059,PM10,2019,357,0,0.0
Auckland,Glen Eden,LAWA-100059,PM10,2020,362,0,0.0
Auckland,Glen Eden,LAWA-100059,PM10,2021,348,0,0.0
Auckland,Glen Eden,LAWA-100059,PM10,2022,364,0,0.0
Auckland,Glen Eden,LAWA-100059,PM10,2023,350,0,0.0
Auckland,Glen Eden,LAWA-100059,PM10,2024,360,0,0.0
Auckland,Henderson,LAWA-100064,PM10,2016,363,0,0.0
Auckland,Henderson,LAWA-100064,PM10,2017,348,1,1.0
Auckland,Henderson,LAWA-100064,PM10,2018,321,0,0.0
Auckland,Henderson,LAWA-100064,PM10,2019,362,0,0.0
Auckland,Henderson,LAWA-100064,PM10,2020,366,0,0.0
Auckland,Henderson,LAWA-100064,PM10,2021,354,0,0.0
Auckland,Henderson,LAWA-100064,PM10,2022,348,0,0.0
Auckland,Henderson,LAWA-100064,PM10,2023,361,0,0.0
Auckland,Henderson,LAWA-100064,PM10,2024,357,0,0.0
Auckland,Pakuranga,LAWA-100103,PM10,2016,363,0,0.0
Auckland,Pakuranga,LAWA-100103,PM10,2017,359,0,0.0
Auckland,Pakuranga,LAWA-100103,PM10,2018,355,0,0.0
Auckland,Pakuranga,LAWA-100103,PM10,2019,363,0,0.0
Auckland,Pakuranga,LAWA-100103,PM10,2020,364,0,0.0
Auckland,Pakuranga,LAWA-100103,PM10,2021,351,0,0.0
Auckland,Pakuranga,LAWA-100103,PM10,2022,362,0,0.0
Auckland,Pakuranga,LAWA-100103,PM10,2023,359,0,0.0
Auckland,Pakuranga,LAWA-100103,PM10,2024,353,0,0.0
Auckland,Patumahoe,LAWA-100106,PM10,2016,355,0,0.0
Auckland,Patumahoe,LAWA-100106,PM10,2017,351,0,0.0
Auckland,Patumahoe,LAWA-100106,PM10,2018,344,0,0.0
Auckland,Patumahoe,LAWA-100106,PM10,2019,346,1,1.0
Auckland,Patumahoe,LAWA-100106,PM10,2020,364,0,0.0
Auckland,Patumahoe,LAWA-100106,PM10,2021,341,0,0.0
Auckland,Patumahoe,LAWA-100106,PM10,2022,328,0,0.0
Auckland,Patumahoe,LAWA-100106,PM10,2023,361,0,0.0
Auckland,Patumahoe,LAWA-100106,PM10,2024,350,0,0.0
Auckland,Patumahoe,LAWA-100106,PM2.5,2016,352,0,
Auckland,Patumahoe,LAWA-100106,PM2.5,2017,287,0,
Auckland,Patumahoe,LAWA-100106,PM2.5,2018,326,0,
Auckland,Patumahoe,LAWA-100106,PM2.5,2019,316,1,
Auckland,Patumahoe,LAWA-100106,PM2.5,2020,327,0,
Auckland,Patumahoe,LAWA-100106,PM2.5,2021,329,0,
Auckland,Patumahoe,LAWA-100106,PM2.5,2022,323,2,
Auckland,Patumahoe,LAWA-100106,PM2.5,2023,340,1,
Auckland,Patumahoe,LAWA-100106,PM2.5,2024,337,2,
Auckland,Penrose,LAWA-100110,PM10,2016,342,1,1.0
Auckland,Penrose,LAWA-100110,PM10,2017,347,0,0.0
Auckland,Penrose,LAWA-100110,PM10,2018,346,0,0.0
Auckland,Penrose,LAWA-100110,PM10,2019,350,1,1.0
Auckland,Penrose,LAWA-100110,PM10,2020,362,0,0.0
Auckland,Penrose,LAWA-100110,PM10,2021,351,0,0.0
Auckland,Penrose,LAWA-100110,PM10,2022,363,0,0.0
Auckland,Penrose,LAWA-100110,PM10,2023,363,0,0.0
