ta_code,ta_name,radiance_mean,viirs_year,ta_code_str,area_sq_km,pop_2023,radiance_per_km2,radiance_per_capita,rank_radiance,rank_per_km2,rank_per_capita
1,Far North District,0.2960107722755976,2021,001,7322.40959306,,4.042532290957192e-05,,44.0,55.0,
2,Whangarei District,0.490321177587715,2021,002,2854.15819547,,0.00017179187137066618,,19.0,25.0,
3,Kaipara District,0.2852358312598865,2021,003,3114.61279231,,9.157986892114992e-05,,54.0,38.0,
11,Thames-Coromandel District,0.318466543857261,2021,011,2299.64605656,,0.00013848502596684354,,39.0,32.0,
12,Hauraki District,0.3629798545327301,2021,012,1270.16078047,,0.000285774730344308,,31.0,18.0,
13,Waikato District,0.4672360742405698,2021,013,4516.46799476,,0.00010345165177361081,,23.0,36.0,
15,Matamata-Piako District,0.4781165443613406,2021,015,1755.34815934,,0.0002723770448713203,,22.0,20.0,
16,Hamilton City,11.050833915256089,2021,016,110.93669911,,0.09961386992683605,,1.0,2.0,
17,Waipa District,0.5681495181355475,2021,017,1470.09073481,,0.00038647241607775814,,15.0,15.0,
18,Ōtorohanga District,0.3048914727597337,2021,018,2064.35206695,,0.00014769354396520118,,41.0,30.0,
19,South Waikato District,0.4961147546208455,2021,019,1818.87623113,,0.0002727589410042639,,18.0,19.0,
20,Waitomo District,0.2890221285679681,2021,020,3548.24215375,,8.145501801857345e-05,,49.0,42.0,
21,Taupo District,0.326904321531014,2021,021,6963.85633858,,4.694300192839318e-05,,37.0,52.0,
22,Western Bay of Plenty District,0.4395120500817238,2021,022,2110.69663043,,0.00020823080102808737,,26.0,23.0,
23,Tauranga City,8.228516893718352,2021,023,181.68436547,,0.04529017602825631,,2.0,4.0,
24,Rotorua District,0.4880734800272172,2021,024,2619.13170682,,0.00018634934576077812,,20.0,24.0,
25,Whakatane District,0.3319515224681718,2021,025,4459.56323195,,7.443588199174873e-05,,36.0,45.0,
26,Kawerau District,4.870065650096739,2021,026,28.79737508,,0.16911491538959875,,4.0,1.0,
27,Ōpōtiki District,0.2686871966560156,2021,027,3100.72603636,,8.665299465522355e-05,,64.0,40.0,
28,Gisborne District,0.2876399143911541,2021,028,8385.31210091,,3.430282748330125e-05,,52.0,59.0,
29,Wairoa District,0.2711427000457219,2021,029,4130.48716366,,6.564424226547261e-05,,61.0,47.0,
30,Hastings District,0.4215478935724296,2021,030,5226.70137559,,8.065276037027168e-05,,27.0,44.0,
31,Napier City,5.623776062581851,2021,031,105.94103006,,0.05308402287005148,,3.0,3.0,
32,Central Hawke's Bay District,0.2907768195107924,2021,032,3332.90260763,,8.724431936448375e-05,,46.0,39.0,
33,New Plymouth District,0.5319989122408142,2021,033,2205.60247456,,0.00024120344367447436,,16.0,21.0,
34,Stratford District,0.295969581120879,2021,034,2163.42999539,,0.00013680571211065453,,45.0,33.0,
35,South Taranaki District,0.3482235791477313,2021,035,3575.08872938,,9.740277948517407e-05,,33.0,37.0,
36,Ruapehu District,0.2832441702250927,2021,036,6734.44143355,,4.2059044245898664e-05,,56.0,54.0,
37,Whanganui District,0.3748713876475984,2021,037,2373.27291386,,0.00015795544855306607,,30.0,27.0,
38,Rangitikei District,0.2832951739902652,2021,038,4483.88634602,,6.318072139400333e-05,,55.0,48.0,
