system:index,TA_CODE,radiance_mean,viirs_year,.geo
00000000000000000000,001,0.29601077227559763,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,002,0.490321177587715,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,003,0.2852358312598865,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,011,0.318466543857261,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,012,0.36297985453273013,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,013,0.4672360742405698,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,015,0.47811654436134066,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,016,11.050833915256089,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,017,0.5681495181355475,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,018,0.3048914727597337,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,019,0.4961147546208455,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,020,0.2890221285679681,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,021,0.326904321531014,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,022,0.43951205008172384,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,023,8.228516893718352,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,024,0.4880734800272172,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,025,0.33195152246817183,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,026,4.870065650096739,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,027,0.2686871966560156,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,028,0.2876399143911541,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,029,0.2711427000457219,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,030,0.4215478935724296,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,031,5.623776062581851,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,032,0.29077681951079243,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,033,0.5319989122408142,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,034,0.29596958112087907,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,035,0.3482235791477313,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,036,0.28324417022509274,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,037,0.3748713876475984,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,038,0.2832951739902652,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,039,0.3563701426447533,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,040,2.18032763116344,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,041,0.30234250343008373,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,042,0.44611954889683475,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,043,0.6641139660120238,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,044,2.3179815070104364,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,045,0.8064003413616797,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,046,2.551262072509026,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,047,3.6521084899688154,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,048,0.33981797077017356,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,049,0.34103654715184994,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,050,0.28853055423032137,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,051,0.2703834553204837,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,052,1.2032893154533122,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,053,0.28878293081914885,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,054,0.26250039723180785,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,055,0.27406201186104356,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,056,0.296993200071681,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,057,0.2702213767092365,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,058,0.27655027103494284,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,059,0.4806100743028551,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,060,2.567918416420531,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,062,0.37710680527341883,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,063,0.32614069205794277,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,064,0.4441211828983468,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,065,0.27254733945457754,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
